amount,hour,device_trust,fraud
15109,8,1,0
2550,3,1,0
198,13,1,1
15413,20,1,0
6885,17,0,0
9647,19,1,0
7792,18,0,0
301,17,1,0
12824,18,1,0
13190,8,1,0
7376,19,1,0
7772,16,1,0
8619,7,1,0
11065,10,1,0
15842,12,1,0
16962,13,1,0
12801,9,1,0
2788,4,0,0
9480,11,0,0
17972,4,0,0
18710,20,1,0
16601,10,1,0
12651,15,1,0
6344,1,1,0
5766,7,1,0
6538,16,1,0
19952,2,1,0
4139,16,0,0
10256,14,1,0
2889,12,1,0
1342,14,1,0
7328,11,1,0
9604,15,1,0
8667,19,0,0
8692,17,0,0
7064,4,0,0
8213,20,0,0
6079,17,0,0
7710,10,1,0
13750,15,0,0
4477,8,1,0
19428,18,0,0
14845,15,1,0
7884,1,1,0
5195,20,1,0
18609,0,0,0
3251,0,1,0
18061,7,1,0
4527,17,0,0
1264,8,1,0
8736,10,0,0
7058,23,1,0
5325,6,1,0
6896,14,1,0
4355,19,1,0
5115,3,0,0
15872,22,1,0
9678,12,0,0
5531,10,1,0
18044,14,1,0
12762,9,0,0
13596,23,1,0
5861,2,0,0
7005,13,1,0
19954,1,1,0
12244,12,1,0
1529,9,1,0
2271,6,1,0
18463,11,0,0
3707,15,0,0
770,17,1,0
18978,22,1,0
4735,8,1,0
16421,16,1,0
13837,6,0,0
5336,23,1,0
11626,10,1,0
18225,21,0,0
16238,11,1,0
9086,0,1,0
6735,4,1,0
2372,15,0,0
4777,3,1,0
6537,23,1,0
11828,14,1,0
11650,5,1,0
7020,3,1,0
7888,5,1,0
17341,10,1,0
17281,16,1,0
10458,4,1,0
4487,3,1,0
9992,13,0,0
18053,5,1,0
8428,1,1,0
9822,19,0,0
19344,11,1,0
6806,4,1,0
8158,7,1,0
17557,22,1,0
11292,2,1,0
11914,9,0,0
9380,14,1,0
2498,12,1,0
199,7,1,0
3458,23,0,0
12164,23,1,0
11172,11,0,0
11146,17,1,0
19987,11,1,0
3446,21,1,0
14522,12,1,0
9447,13,1,0
10110,1,1,0
16840,22,1,0
12405,17,1,0
10621,8,0,0
6679,21,1,0
8275,7,1,0
5454,17,1,0
16771,3,0,0
9849,0,1,0
579,0,1,0
18368,8,1,0
13962,17,1,0
9537,0,1,0
17169,14,1,0
17682,22,0,0
1783,23,1,0
18040,3,0,0
2545,12,0,0
11488,18,0,0
887,2,1,0
11288,6,1,0
8633,2,1,0
3873,14,0,0
12830,20,1,0
13397,18,1,0
8210,6,1,0
1127,7,1,0
15460,21,1,0
3338,10,1,0
15250,20,0,0
5828,6,1,0
7593,22,1,0
17852,5,0,0
17952,18,1,0
11905,14,1,0
10464,19,1,0
1969,7,1,0
18451,4,0,0
7489,21,1,0
6010,4,1,0
17814,23,1,0
3481,11,0,0
7144,20,1,0
15565,1,1,0
1269,13,1,0
1372,13,1,0
1460,10,1,0
1452,5,1,0
19014,7,1,0
18322,0,1,0
17157,3,0,0
18221,1,1,0
13547,10,1,0
1328,5,0,0
3431,5,0,0
9146,19,1,0
9017,13,1,0
2979,18,1,0
4632,10,1,0
10999,7,1,0
14556,4,1,0
2731,4,0,0
1095,11,1,0
10301,3,1,0
10416,20,1,0
18609,1,1,0
14362,8,1,0
9706,19,1,0
6878,5,1,0
2179,21,1,0
7211,5,1,0
154,21,1,0
15678,5,1,0
8015,17,1,0
14538,5,1,0
17027,3,1,0
12882,16,1,0
9311,18,1,0
13296,1,1,0
14704,10,0,0
10120,22,1,0
1927,16,0,0
4650,5,1,0
15102,3,1,0
6538,3,0,0
7780,14,1,0
548,5,1,0
5465,21,0,0
109,17,1,0
223,10,1,0
11504,18,1,0
4480,5,1,0
16910,3,0,0
2604,17,0,0
11271,16,0,0
18994,15,1,0
5073,2,1,0
17947,20,0,0
18878,10,1,0
16692,1,1,0
8687,15,1,0
19987,13,0,0
9670,12,0,0
135,20,0,0
16353,10,0,0
6527,2,1,0
12510,22,1,0
722,6,1,0
8922,0,1,0
13984,18,0,0
9681,5,0,0
6371,16,0,0
19382,4,1,0
17839,9,0,0
445,9,1,0
8438,11,0,0
17518,19,0,0
18879,14,0,0
18214,14,1,0
5830,22,1,0
13166,4,1,0
1728,8,0,0
17375,7,1,0
5238,5,1,0
19717,23,1,0
18778,13,0,0
14441,11,0,0
17355,3,1,0
18241,22,1,0
934,10,1,0
14777,23,1,0
9516,5,0,0
18214,20,1,0
13649,22,1,0
10929,11,1,0
1351,0,1,0
9144,15,0,0
5019,10,0,0
2533,21,1,0
4436,15,1,0
19639,12,1,0
14729,13,1,0
9731,3,1,0
9762,9,1,0
7781,6,1,0
14692,20,1,0
9153,7,0,0
14966,4,1,0
3323,21,0,0
4783,8,0,0
19947,3,1,0
319,16,1,0
19342,1,1,0
4663,1,1,0
15002,6,1,0
11417,16,1,0
13820,8,1,0
10881,4,1,0
16008,17,0,0
4235,5,0,0
10005,9,1,0
19335,8,0,0
7976,23,0,0
14351,21,0,0
12459,10,1,0
11385,14,0,0
12822,5,1,0
1046,6,1,0
15913,9,1,0
17718,1,1,0
19989,17,1,0
4798,2,1,0
5036,3,1,0
11670,19,1,0
8787,17,1,0
13351,12,1,0
3733,2,1,0
7727,23,1,0
15093,3,1,0
19178,12,1,0
6352,20,0,0
19338,7,1,0
534,12,1,0
14120,1,0,0
2945,4,1,0
18405,22,1,0
2251,20,1,0
7708,13,1,0
3817,12,0,0
18105,20,1,0
15495,6,1,0
12921,15,1,0
19553,10,0,0
16677,18,1,0
13122,4,0,0
9514,3,1,0
3762,21,1,0
19098,15,1,0
17330,3,1,0
3572,7,1,0
5058,10,0,0
6410,8,1,0
9845,13,1,0
13241,15,1,0
18362,18,1,0
5340,20,1,0
12943,5,1,0
3870,3,1,0
3184,15,1,0
4923,15,1,0
3212,19,1,0
2443,4,0,0
11885,3,1,0
478,12,0,0
2005,13,0,0
16927,21,0,0
8126,3,1,0
5672,18,0,0
13231,23,1,0
5444,0,1,0
1416,9,1,0
17467,5,1,0
14292,8,0,0
10383,17,0,0
11934,1,1,0
7805,1,1,0
7737,11,1,0
17797,12,0,0
5127,4,1,0
19967,9,1,0
14335,18,0,0
2197,18,1,0
6431,21,0,0
16583,14,0,0
3583,8,1,0
934,20,1,0
11689,17,0,0
6469,9,1,0
15921,0,1,0
2575,0,1,0
11957,23,0,1
18735,14,1,0
18489,10,1,0
12545,17,0,0
19181,11,0,0
11023,15,1,0
8246,20,1,0
2587,4,0,0
6619,2,0,0
5008,7,1,0
6687,21,1,0
12188,5,1,0
7386,8,0,0
18913,2,1,0
4828,2,1,0
708,11,0,0
11398,13,0,0
1152,9,0,0
3051,5,1,0
14262,0,1,0
9431,19,1,0
839,22,1,0
1175,18,1,0
12497,14,0,0
9671,18,1,0
18691,20,1,0
9503,13,1,0
4885,4,0,0
15141,7,1,0
19213,2,1,0
9817,3,1,0
16381,2,0,0
7392,10,1,0
12191,17,1,0
8622,3,0,0
4556,15,1,0
1974,11,0,0
16523,8,1,0
8291,12,1,0
18946,0,0,0
18759,23,1,0
1372,16,1,0
19532,2,1,0
17477,17,1,0
4624,8,1,0
14157,14,0,0
14649,21,1,0
7380,5,1,0
14073,10,1,0
17889,16,1,0
10573,21,1,0
3943,0,0,0
9382,12,1,0
17145,2,1,0
8110,1,1,0
13375,1,1,0
19488,7,0,0
9027,21,1,0
2162,4,0,0
6735,2,1,0
10218,3,1,0
11495,6,1,0
18383,15,1,0
10039,12,1,0
13570,19,1,0
18105,13,1,0
11865,10,0,0
15890,10,1,0
16916,5,0,0
5164,23,0,0
10909,19,1,0
3590,1,1,0
4830,10,0,0
1498,22,1,0
11403,1,1,0
17184,10,1,0
8840,22,0,0
3291,6,0,0
14779,14,1,0
19403,20,1,0
4938,11,1,0
11369,19,0,0
5046,20,0,0
5824,8,1,0
3409,12,0,0
750,23,1,0
12792,3,1,0
12115,12,1,0
6920,11,1,0
6942,5,1,0
8325,3,0,0
11143,7,1,0
3367,3,1,0
4305,20,1,0
6636,13,1,0
381,13,1,0
19029,7,1,0
11958,2,1,0
12612,20,1,0
7655,14,1,0
15542,15,1,0
10572,11,1,0
18284,0,0,0
17089,1,1,0
6903,14,1,0
4685,11,0,0
2878,10,1,0
16593,23,0,1
5982,13,1,0
1145,9,1,0
3934,13,1,0
7314,13,0,0
2961,8,1,0
7960,0,1,0
2017,4,1,0
7378,12,0,0
12943,10,1,0
4888,15,1,0
2461,7,1,0
17987,1,1,0
10536,3,1,0
2963,4,1,0
16050,9,1,0
9787,12,0,0
5433,19,1,0
3707,0,0,0
7207,7,1,0
4548,12,1,0
18782,21,1,0
19870,16,1,0
5340,12,1,0
9636,0,0,0
5183,21,1,0
6081,7,1,0
1263,17,1,0
18800,5,0,0
14297,14,1,0
10807,0,1,0
14372,23,1,0
15141,0,1,0
17238,3,1,0
3253,2,0,0
19003,17,0,0
19701,3,1,0
5852,7,1,0
8164,12,1,0
6703,11,0,0
11676,0,1,0
3396,8,1,0
7787,11,1,0
14430,19,1,0
14585,13,1,0
11317,6,0,0
3765,0,0,0
10183,3,0,0
15448,16,1,0
10702,23,1,0
7351,3,1,0
7903,12,0,0
18250,9,0,0
2082,12,1,0
18394,4,0,0
3524,15,1,0
9094,6,1,0
18784,5,1,0
9979,16,1,0
9494,4,1,0
16985,20,1,0
14749,4,1,0
18046,19,0,0
3016,1,1,0
9700,2,0,0
18198,17,1,0
1896,6,1,0
13639,2,1,0
18257,10,1,0
14073,15,0,0
4407,13,1,0
10792,6,1,0
11041,7,1,0
8950,3,1,0
15122,20,0,0
4456,23,1,0
13586,0,1,0
18591,3,1,0
18212,16,1,0
5812,18,0,0
8024,21,1,0
5463,23,0,0
14444,4,1,0
6623,12,1,0
6156,13,1,0
3055,21,1,0
5933,4,1,0
8811,5,1,0
12970,5,1,0
4126,16,1,0
1732,17,0,0
9424,18,0,0
5331,9,1,0
16285,4,1,0
16569,13,1,0
15128,3,1,0
8393,20,1,0
10540,0,1,0
1793,7,0,0
10040,10,0,0
5295,21,1,0
6995,22,1,0
18379,22,0,0
13802,0,1,0
5057,8,1,0
3421,13,1,0
8979,22,1,0
9520,2,1,0
1821,13,1,0
15252,11,1,0
10171,15,1,0
3196,21,0,0
17646,22,1,0
19023,1,1,0
12883,0,1,0
10553,22,1,0
19772,1,0,0
8357,14,1,0
18912,3,1,0
12697,15,1,0
9241,8,0,0
3638,0,0,0
17331,2,1,0
15896,5,1,0
11360,16,0,0
4710,1,1,0
17879,14,0,0
1285,0,1,0
6529,2,1,0
7700,22,1,0
7100,2,1,0
9689,2,1,0
7498,4,0,0
18822,16,1,0
16058,12,0,0
18045,23,0,1
6888,0,1,0
14733,13,0,0
12128,3,1,0
8351,18,1,0
18588,15,0,0
9566,0,1,0
9857,12,1,0
13708,2,1,0
18209,16,1,0
19060,0,1,0
12542,1,1,0
12392,5,1,0
4370,6,1,0
11440,9,0,0
6883,6,0,0
11461,8,0,0
1846,13,0,0
9283,19,1,0
18141,0,1,0
15711,17,1,0
5431,1,0,0
2523,14,1,0
16855,19,0,0
7855,5,1,0
16434,21,0,0
18262,11,1,0
9004,4,0,0
12241,15,0,0
18568,14,1,0
1597,23,1,0
3863,13,1,0
13207,13,1,0
7730,1,0,0
17138,4,1,0
9937,11,1,0
16965,0,1,0
4872,9,1,0
16312,3,1,0
7051,23,1,0
17356,19,1,0
18161,20,1,0
7851,17,1,0
1547,13,0,0
690,4,1,0
6406,16,0,0
17090,13,1,0
7813,0,1,0
15545,19,1,0
16679,9,1,0
2241,18,1,0
19564,22,0,0
3414,2,1,0
12062,3,0,0
19621,4,1,0
5407,4,1,0
13145,16,1,0
559,4,1,0
4583,11,1,0
15411,1,1,0
17215,4,1,0
10270,14,1,0
703,11,0,0
730,2,1,0
18471,23,1,0
19684,6,0,0
8930,5,1,0
12817,9,1,0
2781,21,0,0
6928,4,1,0
16675,23,0,1
13922,3,1,0
3087,6,1,0
18338,13,1,0
13897,17,0,0
19345,0,0,0
16023,15,1,0
16449,2,0,0
18428,22,0,0
127,16,1,0
8727,16,1,0
3840,6,1,0
14599,10,1,0
17368,23,1,0
4521,11,1,0
19949,6,1,0
9055,7,0,0
2277,6,1,0
9199,15,1,0
5171,21,0,0
4555,0,0,0
14120,8,1,0
862,7,0,0
14963,11,0,0
8770,19,0,0
9564,16,1,0
15958,7,1,0
181,9,1,0
15966,2,1,0
8228,8,1,0
19064,19,1,0
3578,2,1,0
6516,18,1,0
14437,5,1,0
18335,11,1,0
9974,11,1,0
10466,14,1,0
17562,4,0,0
8618,12,0,0
8135,1,1,0
17695,2,1,0
1156,17,0,0
3139,22,0,0
17002,20,1,0
8445,2,1,0
17175,15,0,0
7242,14,1,0
3194,6,1,0
3582,0,0,0
11331,9,0,0
3997,13,0,0
13077,23,1,0
2574,3,1,0
18974,18,0,0
679,12,0,0
15987,23,1,0
16266,11,1,0
13693,9,1,0
1516,10,1,0
4804,3,1,0
4965,21,1,0
1770,4,1,0
13345,10,1,0
3009,9,1,0
13091,17,1,0
1267,23,0,0
10066,8,0,0
12278,12,1,0
18120,22,0,0
7102,10,0,0
6908,7,1,0
1803,15,0,0
879,6,1,0
10191,12,1,0
13456,15,0,0
10271,11,1,0
12940,6,0,0
13543,16,1,0
7116,12,1,0
8540,19,1,0
9025,9,1,0
17276,1,1,0
14848,21,0,0
17006,21,0,0
15502,13,1,0
16410,11,1,0
9749,16,0,0
2205,6,0,0
12227,0,0,0
19728,11,1,0
7917,18,1,0
13971,20,1,0
12977,6,0,0
4532,13,0,0
15696,1,1,0
14746,12,0,0
18001,13,1,0
14305,15,1,0
749,1,1,0
14222,16,1,0
11051,20,1,0
2267,22,1,0
3307,21,0,0
12040,4,1,0
13931,18,0,0
12930,18,1,0
1488,13,0,0
15749,19,1,0
6563,4,0,0
15437,8,1,0
16680,18,0,0
5957,20,0,0
15080,6,1,0
18492,11,1,0
7881,19,1,0
15467,12,1,0
14058,1,1,0
9606,19,1,0
4616,18,1,0
9277,11,1,0
16764,7,1,0
1724,12,1,0
15377,18,1,0
18588,2,1,0
13349,20,1,0
11384,19,0,0
19646,11,1,0
10617,7,1,0
19742,14,1,0
19474,11,1,0
9409,14,0,0
5503,5,1,0
11558,19,1,0
14695,7,0,0
9838,21,1,0
13392,1,0,0
8631,7,1,0
16171,18,0,0
5730,8,1,0
14163,8,0,0
9759,8,1,0
5064,12,1,0
1204,11,1,0
13125,3,1,0
12155,6,0,0
2269,20,1,0
19337,7,0,0
8726,2,1,0
9582,5,1,0
11552,1,0,0
622,19,1,0
10106,12,0,0
19865,11,1,0
4142,13,1,0
9008,20,1,0
1153,4,1,0
13863,8,0,0
13127,11,1,0
484,16,1,0
13190,13,1,0
14631,5,0,0
1986,21,0,0
12960,4,1,0
6503,20,1,0
14785,2,1,0
11174,14,1,0
7316,14,1,0
18223,10,0,0
236,23,1,0
12230,9,0,0
19438,23,0,1
15964,11,0,0
9425,9,0,0
4428,15,0,0
17184,13,1,0
9397,22,0,0
1959,14,0,0
8627,19,1,0
18298,1,1,0
8505,18,0,0
6754,2,1,0
12660,22,1,0
19666,5,0,0
1020,11,0,0
4104,21,1,0
13041,11,1,0
5975,10,1,0
12751,12,1,0
6810,22,0,0
11843,14,0,0
7637,4,0,0
16938,23,1,0
528,0,1,0
14419,6,1,0
1716,19,1,0
19056,17,0,0
15706,11,1,0
13427,11,0,0
18376,2,1,0
5039,9,1,0
11408,23,1,0
3067,6,0,0
15139,20,0,0
13290,13,1,0
9916,22,1,0
15345,23,1,0
14246,11,0,0
4625,18,1,0
1227,10,1,0
10436,0,0,0
6337,6,1,0
17527,0,1,0
15618,4,1,0
18051,13,1,0
11063,18,0,0
6566,1,1,0
6645,5,1,0
12015,4,1,0
17669,3,0,0
4821,18,1,0
4294,0,1,0
7789,19,0,0
15979,15,1,0
7699,13,1,0
1658,3,1,0
5516,1,0,0
6460,5,1,0
9626,14,1,0
3726,4,1,0
12858,13,1,0
859,1,0,0
275,2,1,0
12348,19,1,0
8118,2,1,0
15888,6,1,0
6304,11,1,0
10155,18,1,0
326,3,0,0
19848,2,1,0
14099,12,1,0
10964,15,1,0
13304,11,1,0
11703,6,1,0
12816,17,1,0
15379,2,1,0
12880,20,0,0
15016,22,1,0
7670,4,1,0
18082,6,1,0
18167,23,1,0
14782,2,1,0
7736,18,1,0
16136,5,0,0
268,13,1,0
10172,9,1,0
6595,3,1,0
18351,14,1,0
15252,16,1,0
19275,2,1,0
1195,22,0,0
1128,2,1,0
19505,21,0,0
15397,3,1,0
19945,11,1,0
6805,14,0,0
8758,7,0,0
11078,21,0,0
8056,20,0,0
6585,5,1,0
557,4,0,0
13494,16,1,0
19911,11,0,0
18501,20,1,0
13684,5,1,0
10692,0,1,0
12293,17,1,0
677,15,0,0
19059,21,1,0
13975,9,1,0
2790,11,1,0
16106,6,1,0
310,6,1,0
19957,19,1,0
11770,19,0,0
18599,8,1,0
12354,15,0,0
2909,1,1,0
7645,19,1,0
19673,20,0,0
11431,21,0,0
9491,10,1,0
121,14,1,0
10504,21,0,0
5566,15,1,0
8005,9,1,0
13432,11,1,0
19008,2,1,0
12051,20,1,0
17426,17,1,0
2221,13,1,0
10795,1,1,0
7670,18,1,0
8236,5,1,0
16081,15,1,0
2086,1,1,0
7773,3,1,0
2319,21,0,0
3845,17,1,0
13280,14,1,0
7771,5,1,0
5449,14,0,0
10655,11,1,0
16849,17,1,0
9844,10,1,0
6556,3,1,0
3331,21,1,0
6173,0,1,0
615,12,1,0
7305,13,1,0
10317,10,0,0
12346,19,1,0
16966,8,1,0
11161,21,1,0
12857,1,1,0
8517,4,1,0
2798,3,1,0
15024,18,1,0
7418,3,1,0
14047,5,0,0
9292,20,0,0
10981,15,1,0
11332,10,1,0
6623,10,1,0
9603,19,1,0
13622,15,1,0
9353,16,0,0
3076,1,0,0
6506,21,1,0
2581,10,1,0
11337,10,1,0
11170,3,1,0
1218,22,1,0
2589,15,1,0
5903,11,1,0
1592,5,1,0
7480,14,0,0
14976,0,1,0
19172,8,1,0
10062,23,1,0
14636,10,1,0
9945,23,1,0
8177,5,0,0
10638,10,1,0
9845,19,0,0
5150,10,1,0
6350,6,0,0
6317,3,1,0
17307,6,1,0
5547,19,1,0
7248,8,1,0
16032,15,1,0
18947,7,0,0
6849,11,1,0
5680,21,1,0
17106,20,0,0
14880,17,1,0
11758,22,1,0
10587,23,0,1
16010,11,1,0
2826,20,0,0
15543,4,1,0
18827,12,0,0
18478,22,1,0
358,8,1,0
15334,4,0,0
14168,23,0,1
19912,10,1,0
2807,9,1,0
3955,23,0,0
1255,23,0,0
2130,19,1,0
5739,21,0,0
10329,12,1,0
14935,20,1,0
11072,21,1,0
15639,11,1,0
6145,2,0,0
5748,15,1,0
642,1,0,0
16864,17,1,0
4957,6,1,0
10005,18,1,0
18651,10,0,0
2655,18,1,0
4091,23,1,0
676,16,1,0
3941,1,1,0
1502,17,1,0
11937,19,1,0
16148,13,1,0
8910,1,0,0
6483,20,1,0
7574,21,1,0
19344,23,1,0
9483,16,1,0
10570,21,1,0
16784,20,1,0
6598,18,1,0
6029,4,1,0
12646,8,1,0
16267,7,0,0
3351,15,0,0
9866,1,0,0
16464,15,1,0
13461,8,0,0
8191,0,1,0
17707,21,1,0
3614,9,0,0
13572,1,0,0
13102,2,0,0
5475,11,1,0
1851,16,1,0
12895,10,1,0
10611,1,1,0
6192,18,1,0
2120,21,0,0
12498,4,0,0
1107,18,1,0
7691,3,0,0
3826,16,1,0
11934,19,1,0
4669,0,1,0
12364,15,1,0
11108,5,1,0
3929,8,0,0
4897,19,0,0
3492,11,0,0
7001,23,1,0
17376,13,1,0
16952,7,1,0
10340,3,1,0
5461,1,1,0
14820,5,1,0
876,4,1,0
13369,3,1,0
8870,19,0,0
2093,0,0,0
19692,13,1,0
7683,2,1,0
17473,20,1,0
2301,22,0,0
19862,22,1,0
10789,6,1,0
8233,11,1,0
13283,11,1,0
5087,10,0,0
12268,3,0,0
19888,13,1,0
11434,7,0,0
5824,20,1,0
8092,18,0,0
12171,12,0,0
6660,8,0,0
11821,8,1,0
19891,11,0,0
13588,17,1,0
19831,11,1,0
1552,6,1,0
11845,1,0,0
17399,0,0,0
17575,21,0,0
14896,14,0,0
18732,22,1,0
7506,1,0,0
3062,7,0,0
10556,12,1,0
5445,5,0,0
10818,12,1,0
754,7,1,0
6864,14,1,0
4464,13,0,0
14781,2,0,0
10844,14,1,0
12437,10,0,0
9883,17,1,0
14913,21,1,0
15350,14,0,0
10209,12,1,0
4298,8,0,0
12184,21,0,0
15862,13,1,0
11898,11,1,0
10395,5,1,0
17140,14,1,0
11131,13,0,0
14905,14,1,0
18684,21,1,0
7890,13,0,0
3730,20,1,0
12587,22,1,0
14084,7,1,0
1551,16,1,0
9042,6,1,0
12935,2,1,0
14420,17,1,0
9565,4,1,0
13123,14,0,0
15132,6,0,0
17336,22,1,0
16904,20,1,0
903,8,1,0
12210,2,1,0
11069,9,1,0
6120,11,0,0
15484,18,1,0
566,12,1,0
8305,2,0,0
10183,17,0,0
18540,9,0,0
14443,12,1,0
2127,14,1,0
17710,4,1,0
7170,22,0,0
18195,23,0,1
1825,18,1,0
11155,7,1,0
18990,11,0,0
5576,22,0,0
1174,14,1,0
7497,8,1,0
11893,13,1,0
10390,17,1,0
1085,13,1,0
9511,7,1,0
4439,8,1,0
3722,15,1,0
14398,22,1,0
7974,2,1,0
695,3,1,0
14365,8,1,0
6023,13,0,0
399,10,1,0
16390,8,1,0
18109,1,1,0
6939,19,0,0
2618,7,0,0
10357,3,0,0
6688,20,0,0
6157,7,1,0
9936,15,1,0
12785,17,1,0
1740,16,1,0
397,23,1,0
5912,21,1,0
9104,0,1,0
5717,8,0,0
15562,23,1,0
17072,4,0,0
366,13,0,0
19121,12,1,0
16536,23,1,0
4235,1,1,0
11713,18,1,0
11219,0,1,0
11183,17,1,0
5936,11,1,0
10742,13,1,0
7896,22,0,0
4538,21,1,0
14924,4,0,0
17477,21,1,0
13860,15,1,0
6535,6,0,0
11775,12,1,0
10799,8,1,0
14154,11,1,0
6210,20,1,0
12804,12,1,0
12351,15,0,0
2802,17,1,0
2299,15,1,0
11980,2,1,0
7534,1,0,0
5903,13,1,0
17073,11,0,0
13039,14,0,0
18079,12,1,0
8283,3,1,0
14665,1,1,0
18865,6,0,0
9100,3,1,0
13733,20,1,0
11717,18,1,0
9407,18,0,0
14621,0,1,0
7667,7,1,0
725,4,0,0
15558,11,1,0
17096,6,1,0
12567,4,0,0
5402,21,0,0
7119,22,0,0
13303,17,0,0
19047,6,1,0
2044,2,1,0
19082,12,0,0
126,2,1,0
18519,8,1,0
8534,22,0,0
11610,15,1,0
7379,2,0,0
15169,19,1,0
3785,1,1,0
12908,11,1,0
6223,7,1,0
15050,3,1,0
9305,2,0,0
15820,13,1,0
8838,8,1,0
14356,22,1,0
3952,7,0,0
6203,3,0,0
11369,10,1,0
14128,1,1,0
9737,20,0,0
2511,18,1,0
6064,0,1,0
16682,12,1,0
11579,7,1,0
15622,13,1,0
14785,18,1,0
9927,5,1,0
6508,4,0,0
18917,7,1,0
436,4,1,0
17123,22,0,0
13341,8,1,0
13324,0,0,0
14212,14,0,0
9880,0,1,0
1308,4,1,0
6731,16,1,0
11426,12,1,0
3711,22,1,0
8982,10,1,0
570,10,1,0
9550,6,0,0
6121,6,0,0
12910,4,1,0
12137,16,0,0
